index,address,valid_stamps_count,stamp_providers,issuance_date
0,0x06cd8288dc001024ce0a1cf39caaedc0e2db9c82,0,,
1,0x9be7d88cfd6e4b519cd9720db6de6e6f2c1ca77e,0,,
2,0xf8bde71eb161bd83da88bd3a1003eef9ba0c7485,19,"[""SnapshotVotesProvider"",""Lens"",""Ens"",""gtcPossessionsGte#10"",""GnosisSafe"",""ZkSync"",""NFT"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""Linkedin"",""Discord"",""POAP"",""Facebook"",""FacebookProfilePicture"",""Github"",""Google"",""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100""]",
3,0x1994bc4f630a373ffc3ecef84165cfb85e7f7820,0,,
4,0x13ef1086cdfecc00e0f8f3b2ac2c600f297dc333,9,"[""Google"",""Github"",""POAP"",""Discord"",""SnapshotVotesProvider"",""NFT"",""ZkSync"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider""]",
5,0xb324b8ab8634a6c160361d34e672cec739ac55cd,0,,
6,0x1b7a0da1d9c63d9b8209fa5ce98ac0d148960800,0,,
7,0xe718bb18d8176659606b3d7d3f705906a9d3e1bd,0,,
8,0x93f1869f0a7d2f8021256806aef3d8096d0a91c3,0,,
9,0xa8086d63180aabc477ca95920214c469a3d8cc1a,0,,
10,0xc6d4a1faaefb4d2661f3d235995f1b78b46bf9de,17,"[""Google"",""Github"",""Facebook"",""FacebookProfilePicture"",""POAP"",""Discord"",""SnapshotVotesProvider"",""NFT"",""Lens"",""Linkedin"",""Ens"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""gtcPossessionsGte#10"",""Twitter"",""TwitterTweetGT10"",""Brightid""]",
11,0x4ed903cdc1fb63619b6a46c1e58d1e2aaed7178c,0,,
12,0xb038ef595aaffd7e43f20134032a3dfa0304e38b,4,"[""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""TwitterFollowerGT500""]",
13,0xaf793a5a3ac072f41dee69090c0d4b873f70afa2,4,"[""Github"",""GitcoinContributorStatistics#numGrantsContributeToGte#1"",""GitcoinContributorStatistics#numGrantsContributeToGte#10"",""GitcoinContributorStatistics#numRoundsContributedToGte#1""]",
14,0x4453783e190912e8d72e27d76d6180fa402d176e,0,,
15,0x786694b02f1d331be540e727f1f2a697c45b57e4,0,,
16,0xd6ca66a00997a2038a6dc7304131a40f48268f77,10,"[""Github"",""TenOrMoreGithubFollowers"",""FiftyOrMoreGithubFollowers"",""SnapshotVotesProvider"",""ZkSync"",""NFT"",""Lens"",""Brightid"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider""]",
17,0x0971db7b2c228dac5ba65899bd646f27b18b8312,0,,
18,0x9d8ac3c0e91b23fd58cbc4e66fd1042dc747d6f4,5,"[""Twitter"",""Google"",""Github"",""Discord"",""EthGTEOneTxnProvider""]",
19,0x8d2ce5d48dd77e2a117cb973d0ff8768d123ea4d,0,,
20,0x2ac43f1b20e54b182d075d801e1c350c420686d1,6,"[""Discord"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""ZkSync"",""NFT""]",
21,0xef71a6bddf3da91d64428a94b4f270b6a593f614,0,,
22,0x1a971436c82b6492c19992cdb7486138fcfbe3e3,7,"[""Ens"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""SnapshotVotesProvider"",""NFT"",""ZkSync"",""GnosisSafe""]",
23,0xb64331dcf017ed5bbbe5212b859cc466757e52bd,0,,
24,0x92eeca199466877a56eea7b939b54717f6acbc2e,13,"[""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""TwitterFollowerGT500"",""TwitterFollowerGTE1000"",""Discord"",""POAP"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""NFT"",""Lens"",""Google"",""Github""]",
25,0x7bc941ce874ffb53ef241f4a74a5c071655a951f,0,,
26,0x6d4223b3d03fb2d859cff7888c1a1efef17c373c,0,,
27,0x5feca3c3188567f32d69701f876fc1dbea4113cb,0,,
28,0x11a4b99cbd7a974824966f5ccba231ee3c14ef1a,5,"[""TwitterTweetGT10"",""Twitter"",""ZkSync"",""SnapshotVotesProvider"",""Discord""]",
29,0xb63fc928a5a1815a7098e6c5b55248442ecd8bef,0,,
30,0x3d73355812d98521750268463c56edbe7243b8f3,10,"[""Twitter"",""TwitterTweetGT10"",""TwitterFollowerGT100"",""Google"",""Github"",""Discord"",""NFT"",""EthGTEOneTxnProvider"",""ZkSync"",""SnapshotVotesProvider""]",
31,0xee05b5a8031753efbe5e36216d27fdb6cbbbc72a,8,"[""TwitterTweetGT10"",""Discord"",""Github"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider"",""ZkSync"",""NFT"",""SnapshotVotesProvider""]",
32,0x66630ed4ed25c002903c884313f3191773d793b9,0,,
33,0xdc4d547bb48deca71dbf0fff541815b24e4dc082,0,,
34,0xcc4f8e0f7ed6166f0e6da43c93983b407e369fa2,0,,
35,0x82b5a8071fd234b6c22d05f548f78fc7720c7bd5,0,,
36,0x92e1473c2fdb6fe953f548276af7066ad49caedf,0,,
37,0xb77d4bf7e8e4b67232ee54d387cf9736b97b7052,0,,
38,0x00d116e7212cc575b3f4903a29190bbbbc52f322,0,,
39,0xbb643fd4b8ef6b2df5d9ff3fba1b7b9d6a190748,,,
40,0x624f68ce95d31a08ce343f5b2e331be9d7a734a7,0,,
41,0xfb6a736f118942de00cb7cf9a4aea1948719bdd8,7,"[""Twitter"",""Discord"",""Github"",""ZkSync"",""Google"",""FirstEthTxnProvider"",""EthGTEOneTxnProvider""]",
42,0x032cb1c800cc57571c68aae717560ad2b49406f4,0,,
43,0x5d449f574a63311307860aaff094e0cac81f602a,0,,
44,0x60e33f77532d6b290123082ee2ac90a321a820e3,0,,
45,0xfa48a2a8388eaa29991a3d03642e9d75da9a8870,0,,
46,0x73b9f5d955ccae533bfe30b15db83d31362dc4d1,0,,
47,0x16862662b5a97e696f76fd05b64c5bf00db6320e,,,
48,0x85eb3b48b210ada56b44239238130f894208b76c,0,,
49,0x5aa9e7947d5cfda2adc2a03d3110b1e3b01bc58b,0,,
50,0x501f2b058a5258f2717d585a613a234b4961ba11,2,"[""ZkSync"",""SnapshotVotesProvider""]",
51,0x1b8ec23eefe92685c6992f47d1f8c4a58af6bbe0,0,,
52,0x2ca2ae442e68ae80d8a4f5e2c57566f7c36e2075,0,,
53,0x7c7ce9c8c8449a42c3286ddf25c503b60e6be571,0,,
54,0x1baa67c0ef5dc665c2a5fad4f4f8826835cfd7d0,0,,
55,0xac3bc089db7bc61717f0c875f564ea11d6fa20ee,0,,
