id,project,status,created_at,updated_at,application_round,application_recipient,last_updated,project_id,title,description,website,project_github,project_twitter,github_user
0x0718e3d08633de4d7d2a6cf71e13f79507ba19f4389552fec4314e7ad5a13fc9-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x0718e3d08633de4d7d2a6cf71e13f79507ba19f4389552fec4314e7ad5a13fc9,PENDING,2022-12-07 17:50:11,2022-12-07 17:50:11,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x06Fd1a0356A1e58852721331A3aEd1b7ebE214ed,0.0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:6,StaTwig Supply Chain Visibility for Life Saving Vaccines and Food,"StaTwig, a blockchain powered Supply Chain Visibility start-up, has been invited by UNICEF for a pilot quadratic funding round with GitCoin. This selection is based on our past innovations such as VaccineLedger that have been reviewed by UNICEF. 
The VaccineLedger is a decentralized supply chain management platform for tracing vaccines from manufacture to last mile beneficiary.  VaccineLedger continues to play a crucial role in COVID-19 and other vaccine deliveries worldwide and was recognized by the United Nations as a Digital Public Good (DPG) in Aug 2022. StaTwig has also gained support from various governments and leading organizations such as World Economic Forum, Gavi, The Trinity Challenge, Techstars, Polygon and Protocol Labs.
If you’ve been looking for a way to make a positive impact with the resources at your disposal, this is it. Join Unicef and Gitcoin and help us bring better vaccines to the masses. The unborn generations of tomorrow are counting on it.
StaTwig in the news: http://bit.ly/3VDEEcn
		            http://bit.ly/3iIc8aM
		            http://bit.ly/3VAwGkn
		            http://bit.ly/3XSUBNz",https://statwig.com,https://github.com/StaTwig/admin/tree/development,StaTwig,
0x19ace9f9a5f68b506c591e15a02206227c90c030e8b78fd2ff09e9cf81ff7224-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x19ace9f9a5f68b506c591e15a02206227c90c030e8b78fd2ff09e9cf81ff7224,PENDING,2022-12-06 05:07:47,2022-12-06 05:07:47,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x6078c8eeB7ED8916A8f1e85dc8F6E780C09a89fF,0.0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:9,Somleng - A full-stack cloud communications platform,"The goal of Somleng is to break down the economic and accessibility barriers to communications.

Our vision is a world where communications is accessible to everyone.",https://www.somleng.org,somleng,SomlengProject,
0x2d1ba754e52abbe2e9f5789890b325ef32eddcf9e2c536db33823f25f0ea8a6e-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x2d1ba754e52abbe2e9f5789890b325ef32eddcf9e2c536db33823f25f0ea8a6e,PENDING,2022-12-09 02:47:35,2022-12-09 02:47:35,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x39D77e51c485F1ff65b1b3B42e9f67CdA221F597,0.0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:18,Xcapit,"Emerging markets have many things in common. Lots of people are excluded from education, markets and the system at all. The serendipity of the governments make the conditions, at least, unpredictable so as to think even at a short term.
On the other hand, people have smartphones and the will to evolve. We took both facts and developed an opportunity to bring access leveraged on Blockchain and Cryptocurrencies.
We built a secure and reliable wallet to encourage saving and investing. We built it open source to be absolutely transparent and traceable. We envision complete access to DeFi and Web3, as we may find a new path to create a lasting social and economic impact within Latam and the rest of the world.
It’s not only about what we envision, but it’s about what we have done already. First of all we have gathered a +35 passionate team about changing Latam’s reality in terms of access. Afterwards, we were able to create from scratch a self-custodial, multichain, open-source, mobile wallet that was recognized as a Digital Public Good.
++Link to Open Source Documentation: https://gitlab.com/xcapit-foss
++Repository: https://xcapit-foss.gitlab.io/documentation/docs/project_charter/ (GNU Affero General Public License version 3)
++Link to DPG: https://digitalpublicgoods.net/registry/xcapit.html https://app.digitalpublicgoods.net/a/10130).
We received the support and investment of Unicef Venture Fund, and with their support, we were able to be recognized by the DPG Alliance, being relevant to the UN sustainable development goals:
**SDG 1: End poverty in all its forms everywhere,
**SDG2: Zero hunger,
**SDG4: Quality education,
**SDG5: Gender equality,
**SDG10: Reduce inequalities
We care deeply about security, so we accomplished to certify ISO 27.001
++Link to ISO 27.001 documentation: https://xcapit-foss.gitlab.io/documentation/docs/security-certifications-and-audits/iso27001
In that wallet, we included an end to end solution that let people go from FIAT to the Metaverse and back, all at once. Started by moving the boundaries of education, by including gamified education in the wallet journey, also bringing people together and onboard.
We impacted more than 200,000 people within more than 80 countries all over the world.
We were born multi-chain (Ethereum, Polygon, BNB chain, RSK and Solana) as we want to take advantage of the different benefits of each network, and make them accessible for every human being. Also made DeFi investment products available, so as to give options to the lack of chances to safeguard capital in the middle of unstable countries and economies. All of that, a click away. Added to the gamified financial education module, a financial planner and a donation module to take full control of personal finances, and develop that way, a true culture of savings and wealth planning.
We are running the present grant to make come true the massive crypto adoption withing Latam. After listening to Vitalik's ""Ideas for things worth building"" in the EthMexico talk, we started working on Account Abstraction to simplify the wallet experience. Some time later we were invited by Unicef to participate in EthBogota and Devcon, where we worked together with the Ethereum Foundation Next Billion team on our proposal to achieve a smart wallet that abstracts accounts, social recovery, processes multiple transactions without gas costs.
We pursue to unlock the impact of Web3 on real problems that people come through on a daily basis. Hope to count with you to make this come true, at once, for real people to fulfill their personal dreams.
Discord: https://bit.ly/DiscordXcapit
Telegram: https://t.me/xcapit_es/27771",https://xcapit.com,,xcapit_app,
0x306a97b03597e1777d23a53aa4d3a46c1cd2c06a18c03927df739fadf56e3848-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x306a97b03597e1777d23a53aa4d3a46c1cd2c06a18c03927df739fadf56e3848,PENDING,2022-12-07 10:32:11,2022-12-07 10:32:11,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0xd27E1a1a60eBc1B70f4Cae5265092C0f6eDc7F9d,0.0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:12,Kotani Pay,"Kotani Pay is a technology stack that enables blockchain protocols, dapps, and blockchain fintech companies to integrate seamlessly to local payment channels providing them with a reliable on ramp and off ramp service to reach a wider customer base in Africa.

Kotani Pay provides full crypto wallet functionality on interfaces familiar to the African audience, and can be used on both feature phones and smartphones.

We are currently serving and offering financial inclusion to various populations including refugees, gig workers, local businesses, and farmers.

We have enabled refugees in Daadab and Kakuma UNHCR camps to receive an unconditional basic income from crypto philanthropists and non-governmental organizations, allowing many beneficiary families to meet their daily basic needs.

Many unemployed youth are unable to access work on international platforms due to the difficulty of cashing out their earnings as a majority of them do not have bank accounts or access to Paypal wallets. These youth can now work on microtask platforms and earn digital assets and utilize Kotani Pay to earn their dues directly to their mobile money wallets.
We are also running a De-Fi program to enable farmers and landowners to access low-interest loans and perform transparent and real-time transactions, with a very easy repayment schedule and process. This ensures that these farmers can access inputs and multiply their output and earnings, drastically improving livelihood and financial stability
",https://kotanipay.com,https://github.com/kotanipay,@kotanipay,
0x30be8ac1c84158cbc78c55bbffda007a3d3ea4cd2b10afd154279da82ee35b4f-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x30be8ac1c84158cbc78c55bbffda007a3d3ea4cd2b10afd154279da82ee35b4f,PENDING,2022-12-09 03:53:23,2022-12-09 03:53:23,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x0e5C6c79F44a19d98dD58d4c22D3A2fBD555eEbe,0.0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:20,Pixframe Studios - Transforming Education,"Pixframe Studios are located in Mexico, creating a game-based learning platform to assess and develop children's cognitive skills, including attention, memory, planning and organization, audiovisual perception, inhibition, and flexibility. They've developed a cognitive assessment program through a series of mini-training games powered by an AI algorithm that helps predict children's learning issues. Pixframe is a certified DPG and is currently part of the Learning Innovation Portfolio as they scale up a game-based math-learning app with UNICEF Mexico. Towi focuses on ages 4-12, and Matematia on ages 12-18. As of 2021, they have more than 100,000 active users on the platform, where children are using Towi to assess and develop their cognitive skills. 50,000 users in Mexico have used Matematia with the help of the minister of education.",https://pixframesstudio.com,,pixframestudios,
0x41b838dc0a624db0eb8a096d90ade9f01a8598117f8d94d419f0496af1d04dbd-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x41b838dc0a624db0eb8a096d90ade9f01a8598117f8d94d419f0496af1d04dbd,PENDING,2022-12-08 17:04:59,2022-12-08 17:04:59,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x95d34596dB5A2f65f2a92B97955BF7920Fd1c9e3,0.0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:13,Simple Map,We are an open-source geographical asset management platform for photovoltaic plants and agricultural crops. Our solution allow companies and early stage entrepreneurs to have a really functional mapping platform to host their services. ,https://simplemap.io,https://github.com/rentadronecl,,https://github.com/rentadronecl
0xa8570318dc5eb4618cb030b0f06ea912302efedecf23d819710ae76ff9f238ad-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0xa8570318dc5eb4618cb030b0f06ea912302efedecf23d819710ae76ff9f238ad,PENDING,2022-12-08 03:38:11,2022-12-08 03:38:11,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x81c776d0D7F7d9D3699851993EcAa88A46187F11,0.0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:8,Treejer Protocol,"Treejer is an open protocol connecting donors to rural planters worldwide. The project leverages cutting-edge concepts such as decentralized finance (DeFi), non-fungible tokens (NFTs) and smart contracts to unlock new opportunities in financing forest conservation and rural development.

Treejer acts as a seamless, transparent bridge empowering local communities through crypto donations even in unbanked and remote areas. Treejer's approach incentivizes not only forest plantation but also conservation by locking up the funds in a smart contract and releasing it over time as planters and other data providers continue providing updates from forest status.

The protocol also provides proof-of-impact to donors in the form of dynamic tree NFTs that have real-world attributes. These NFTs are linked to each tree and are minted on Polygon network.

Treejer protocol has several smart contracts and two main interfaces: a payment and forest tracking interface offered to donors on ""https://treejer.com"" and a dedicated mobile app for tree planters and rural ambassadors. They use it to submit new trees, provide updates and unlock conservation rewards.

Besides using official interfaces, builders can integrate the tree planting plugin with their existing products.

🌳 Product demo (v1):
https://youtu.be/ZTcy-6IxT7U

---=== The impact of QF donations ===---
This quadratic round will help us build the next iteration of Treejer protocol (v2.0) and expand the adoption of our current products. Please find an overview of the works we've done after each QF round on Gitcoin so far:

🌳 cGrant profile:
https://gitcoin.co/grants/1080/treejer-a-climate-action-protocol

---=== Learn more about Treejer ===---

🌳 Documentation:
https://docs.treejer.com

🌳 Discord:
http://discord.gg/treejer

🌳 Twitter:
https://twitter.com/treejertalks",https://treejer.com,treejer,TreejerTalks,ermio
0xace36448a1522912bfc22a90686ac7f0f699b662e8201d51afaff636c13cfc47-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0xace36448a1522912bfc22a90686ac7f0f699b662e8201d51afaff636c13cfc47,PENDING,2022-12-06 04:55:59,2022-12-06 04:55:59,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x523d007855B3543797E0d3D462CB44B601274819,0.0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:11,Daniele's Test Project,This is a test,https://danielesalatti.com,DanieleSalatti,DanieleSalatti,DanieleSalatti
0xc03062b43ed99ac4e560c62adf52960a21df6f09b80b82841f35ba0cd7f6cc27-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0xc03062b43ed99ac4e560c62adf52960a21df6f09b80b82841f35ba0cd7f6cc27,PENDING,2022-12-09 04:34:47,2022-12-09 04:34:47,0xdf75054cd67217aee44b4f9e4ebc651c00330938,0x7a2B50ff3ad40e335a94A6858Ab727FDbbC0A9bA,0.0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:21,Bioverse Labs - data to enhance local communities' agricultural and energy practices,"Brazil's Bioverse Labs uses satellite & drone imagery paired with machine learning to access data that enhance local communities' agricultural and energy practices. In the Trombetas River basin, in the Para State of Northern Brazil, multispectral drone imagery and machine learning are utilized in tandem to track economically viable, non-timber species of trees (e.g., chestnut, copaiba, and Brazil nuts). In doing so, they seek to empower indigenous communities in the sustainable management, harvesting, and preservation of their natural resources while supplementing traditional modes of income generation in this region and cultivating local prosperity. First, Bioverse captured multispectral, high-resolution satellite imagery for a detailed picture of the forest canopy, and then they took high-resolution canopy images with drones. Lastly, they built a mobile application that provides in-hand Forest Abundance Maps to local communities using the data collected. Throughout this process, they've identified over 19,240 trees and completed machine learning training for brazil nuts and palm trees, with a 97% accuracy on ML models for the detection of Brazil Nut Trees. They work with locals to create an accompanying sustainable agro-forestry management plan and make their technology open source to maximize its potential reach and impact. The project was originally formed in 2017 during a Google- and NASA-sponsored Global Solutions Program at Singularity University. In the coming years, they intend to expand the application of their solutions to sustainable agriculture, invasive species detection and monitoring the environmental health of urban areas.",https://www.bioverselabs.com,Bioverse-Labs,BioverseLabs,
0xc8fca067d1ecb57b625e640263d153190fe1258c34e8a4ae85396fe502fd6164-0xdf75054cd67217aee44b4f9e4ebc651c00330938,0xc8fca067d1ecb57b625e640263d153190fe1258c34e8a4ae85396fe502fd6164,PENDING,2022-12-09 01:18:23,2022-12-09 01:18:23,,,,,,,,,,
